cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness
31301,893,2102,211,0.551107
31401,868,2141,223,0.540176
31501,868,2024,211,0.580976
31601,868,2054,217,0.536903
31701,868,2091,215,0.561995
31801,834,2108,216,0.553538
31901,890,2107,218,0.543667
32001,878,2139,228,0.548104
32101,870,2046,226,0.551254
32201,862,2073,220,0.558545
32301,874,2111,220,0.548517
32401,880,2133,234,0.549092
32501,892,2163,227,0.533962
32601,870,2094,229,0.547221
32701,873,2141,239,0.534047
32801,861,2118,230,0.560583
32901,859,2117,234,0.54515
33001,862,2063,242,0.547559
33101,901,2161,232,0.553588
33201,860,2127,237,0.570044
33301,887,2167,231,0.549895
33401,914,2120,227,0.550034
33501,862,2134,227,0.580499
33601,901,2042,236,0.570398
33701,913,2123,241,0.564243
33801,838,2015,237,0.571757
33901,907,2116,237,0.567928
34001,883,2143,248,0.560848
34101,875,2122,239,0.567552
34201,895,2123,232,0.563541
34301,837,2144,235,0.552855
34401,887,2185,257,0.551513
34501,922,2186,250,0.576764
34601,848,2102,244,0.591373
34701,914,2207,239,0.546255
34801,899,2217,244,0.544287
34901,854,2164,236,0.547129
35001,893,2153,247,0.578486
35101,883,2149,251,0.540415
35201,897,2145,255,0.580156
35301,851,2079,257,0.54325
35401,916,2250,256,0.560384
35501,876,2186,257,0.559291
35601,909,2244,247,0.545812
35701,893,2215,246,0.581741
35801,891,2246,246,0.56939
35901,920,2243,245,0.54217
36001,885,2172,248,0.547913
36101,896,2215,254,0.533169
36201,886,2200,255,0.550855
36301,857,2115,256,0.597718
36401,906,2186,251,0.5644
36501,958,2114,255,0.55234
36601,895,2171,266,0.545789
36701,927,2152,248,0.577602
36801,935,2223,258,0.52644
36901,859,2134,259,0.570463
37001,895,2228,245,0.561494
37101,921,2204,245,0.547833
37201,885,2169,264,0.554918
37301,926,2219,259,0.543806
37401,936,2195,271,0.544942
37501,936,2197,264,0.555391
37601,914,2214,257,0.551192
37701,943,2253,265,0.536007
37801,882,2206,259,0.590113
37901,859,2148,267,0.568499
38001,851,2113,260,0.568872
38101,933,2117,258,0.587085
38201,895,2212,268,0.528842
38301,904,2158,256,0.573027
38401,874,2115,256,0.565816
38501,924,2242,253,0.540296
38601,951,2164,256,0.546281
38701,939,2253,270,0.549
38801,902,2255,252,0.529946
38901,931,2187,263,0.543766
39001,940,2225,260,0.590342
39101,926,2174,256,0.558507
39201,907,2183,264,0.539017
39301,932,2269,270,0.572014
39401,980,2287,263,0.565488
39501,948,2211,276,0.557024
39601,930,2259,282,0.549722
39701,946,2247,275,0.564712
39801,902,2203,261,0.535897
39901,954,2273,270,0.55311
40001,934,2276,269,0.549611
40101,949,2270,271,0.550194
40201,972,2348,287,0.550164
40301,934,2299,285,0.547063
40401,913,2297,279,0.532097
40501,907,2274,257,0.560903
40601,886,2350,266,0.544029
40701,918,2358,273,0.535283
40801,925,2259,269,0.546431
40901,907,2270,261,0.544033
41001,954,2341,269,0.551354
41101,926,2255,275,0.562893
41201,963,2400,276,0.557292
41301,974,2350,263,0.537911
41401,983,2359,270,0.574028
41501,991,2340,280,0.56648
41601,949,2277,271,0.546315
41701,925,2326,275,0.567745
41801,915,2311,278,0.549936
41901,948,2323,269,0.551043
42001,925,2253,275,0.564028
42101,965,2359,275,0.573407
42201,924,2302,279,0.551179
42301,960,2289,267,0.559686
42401,976,2343,270,0.558764
42501,936,2305,279,0.544652
42601,920,2323,273,0.542131
42701,917,2255,274,0.579994
42801,940,2269,274,0.543878
42901,955,2265,291,0.566272
43001,959,2323,280,0.559632
43101,982,2200,272,0.572348
43201,927,2312,283,0.559064
43301,972,2311,284,0.543426
43401,946,2324,281,0.567744
43501,997,2369,283,0.525013
43601,954,2330,298,0.579335
43701,979,2389,291,0.537931
43801,927,2235,290,0.591104
43901,971,2305,291,0.550366
44001,965,2277,288,0.550837
44101,947,2281,302,0.576812
44201,946,2399,303,0.568078
44301,942,2304,286,0.565303
44401,960,2352,289,0.539096
44501,1003,2369,296,0.556711
44601,961,2416,288,0.564224
44701,969,2383,296,0.563515
44801,923,2405,300,0.540129
44901,967,2346,309,0.574628
45001,956,2378,298,0.547524
45101,968,2344,313,0.563962
45201,964,2379,313,0.554414
45301,971,2411,313,0.566089
45401,965,2397,312,0.536973
45501,962,2302,314,0.564343
45601,983,2419,322,0.547493
45701,981,2361,318,0.551097
45801,973,2434,329,0.578169
45901,1002,2440,318,0.545746
46001,989,2465,314,0.537792
46101,978,2385,315,0.547475
46201,1021,2510,316,0.540532
46301,982,2344,312,0.577035
46401,1010,2450,314,0.548362
46501,984,2387,313,0.561414
46601,974,2409,316,0.556714
46701,1029,2451,324,0.55873
46801,1014,2481,321,0.537324
46901,949,2387,310,0.536489
47001,991,2501,311,0.545342
47101,959,2449,316,0.557153
47201,993,2454,326,0.547
47301,967,2447,321,0.557066
47401,990,2428,317,0.570149
47501,959,2453,307,0.558941
47601,993,2389,314,0.533123
47701,1022,2551,311,0.559003
47801,980,2521,333,0.544134
47901,1012,2458,320,0.571008
48001,1026,2452,328,0.538666
48101,992,2510,324,0.585057
48201,1002,2520,332,0.546391
48301,1035,2484,307,0.568868
48401,1015,2496,318,0.539534
48501,1011,2449,323,0.555395
48601,1019,2463,308,0.57632
48701,982,2472,312,0.546924
48801,966,2580,311,0.554422
48901,1001,2492,319,0.559334
49001,1034,2544,331,0.541786
49101,998,2478,318,0.583198
49201,1054,2482,328,0.556836
49301,993,2449,338,0.546951
49401,937,2425,319,0.574153
49501,991,2432,324,0.574507
49601,1025,2496,339,0.557738
49701,1056,2519,332,0.539945
49801,1031,2440,335,0.540263
49901,1057,2488,335,0.54479
